datetime,open,high,low,close,volume
2023-01-20,135.28,138.02,134.22,137.87,80224000.0
2023-01-23,138.12,143.315,137.89999,141.11,81571000.0
2023-01-24,140.30499,143.16,140.3,142.53,63709000.0
2023-01-25,140.89,142.42999,138.81,141.86,64691000.0
2023-01-26,143.17,144.25,141.89999,143.96001,53650680.0
2023-01-27,143.155,147.23,143.08,145.92999,70555840.0
2023-01-30,144.955,145.55,142.85001,143.0,62979440.0
2023-01-31,142.7,144.34,142.28,144.28999,65874460.0
2023-02-01,143.97,146.61,141.32001,145.42999,76769112.0
2023-02-02,148.89999,151.17999,148.17,150.82001,104478776.0
2023-02-03,148.03,157.38,147.83,154.5,154357344.0
2023-02-06,152.575,153.10001,150.78,151.73,68016528.0
2023-02-07,150.64,155.23,150.64,154.64999,83025608.0
2023-02-08,153.88,154.58,151.168,151.92,63470076.0
2023-02-09,153.77499,154.33,150.42,150.87,54899716.0
2023-02-10,149.46001,151.3401,149.22,151.00999,57450708.0
2023-02-13,150.952,154.25999,150.92,153.85001,61859640.0
2023-02-14,152.12,153.77,150.86,153.2,61707572.0
2023-02-15,153.11,155.5,152.88,155.33,65474540.0
2023-02-16,153.50999,156.33,153.3475,153.71001,66835116.0
2023-02-17,152.35001,153.0,150.85001,152.55,59144120.0
2023-02-21,150.2,151.3,148.405,148.48,58867232.0
2023-02-22,148.87,149.95,147.16,148.91,51011304.0
2023-02-23,150.09,150.34,147.24001,149.39999,48394248.0
2023-02-24,147.11,147.19,145.7202,146.71001,55469608.0
2023-02-27,147.71001,149.17,147.45,147.92,44998472.0
2023-02-28,147.05,149.08,146.83,147.41,50547000.0
2023-03-01,146.83,147.2285,145.00999,145.31,55220312.0
2023-03-02,144.38,146.71001,143.89999,145.91,52088840.0
2023-03-03,148.045,151.11,147.33,151.03,70495008.0
2023-03-06,153.78999,156.3,153.46001,153.83,87558000.0
2023-03-07,153.7,154.03,151.13,151.60001,56182000.0
2023-03-08,152.81,153.47,151.83,152.87,47204800.0
2023-03-09,153.56,154.53999,150.23,150.59,53833600.0
2023-03-10,150.21001,150.94,147.61,148.5,68524400.0
2023-03-13,147.81,153.14,147.7,150.47,84457100.0
2023-03-14,151.28,153.39999,150.10001,152.59,73695900.0
2023-03-15,151.19,153.25,149.92,152.99001,77167900.0
2023-03-16,152.16,156.46001,151.64,155.85001,76161100.0
2023-03-17,156.08,156.74001,154.28,155.0,98862500.0
2023-03-20,155.07001,157.82001,154.14999,157.39999,73641400.0
2023-03-21,157.32001,159.39999,156.53999,159.28,73938300.0
2023-03-22,159.3,162.14,157.81,157.83,75701800.0
2023-03-23,158.83,161.55,157.67999,158.92999,67622100.0
2023-03-24,158.86,160.34,157.85001,160.25,59196500.0
2023-03-27,159.94,160.77,157.87,158.28,52390300.0
2023-03-28,157.97,158.49001,155.98,157.64999,45992200.0
2023-03-29,159.37,161.05,159.35001,160.77,51305700.0
2023-03-30,161.53,162.47,161.27,162.36,49501700.0
2023-03-31,162.44,165.0,161.91,164.84,68694700.0
2023-04-03,164.27,165.89,164.27,165.62,36548476.0
